Match Time in Seconds,Gi/No Gi,Skill / Belt,Division,Submission,Team,Conference,Year
195,GI,ADVANCED,JUVENILE,AMERICANA LOCK,NA,RALEIGH 2018,2018
25,GI ,ADVANCED,JUVENILE ,AMERICANA LOCK,NA,RALEIGH 2016,2016
302,NO GI,ADVANCED,MEN,AMERICANA LOCK,FLOW JIU JITSU,PHILLY 2010,2010
837,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,GREENSBORO 2015,2015
200,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,VIRGINIA BEACH 2016,2016
99,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,RALEIGH 2016,2016
727,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,RICHMOND 2016,2016
1425,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,CHARLOTTE 2017,2017
1291,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,CHARLOTTE 2017,2017
162,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,CHARLOTTE 2017,2017
91,NO GI,ADVANCED,WOMEN,AMERICANA LOCK,NA,CHARLOTTE 2017,2017
130,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,VIRGINIA BEACH 2017,2017
37,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,VIRGINIA BEACH 2017,2017
216,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,RICHMOND 2017,2017
1395,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,RALEIGH 2018,2018
593,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,RALEIGH 2018,2018
1068,NO GI,ADVANCED,WOMEN,AMERICANA LOCK,NA,RICHMOND 2018,2018
1172,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,RICHMOND 2018,2018
2888,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,RICHMOND 2018,2018
180,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,RICHMOND 2018,2018
186,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,RICHMOND 2018,2018
193,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,GREENSBORO 2019,2019
477,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,GREENSBORO 2019,2019
253,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,GREENSBORO 2019,2019
60,NO GI,ADVANCED,JUVENILE ,AMERICANA LOCK,NA,RALEIGH 2016,2016
56,NO GI,ADVANCED,JUVENILE,AMERICANA LOCK,NA,RALEIGH 2018,2018
510,NO GI,ADVANCED,MEN,ANKLE LOCK,DADDIS FIGHT CAMPS,PHILLY 2010,2010
1920,NO GI,ADVANCED,MEN 30+,ANKLE LOCK,NA,RICHMOND 2013,2013
681,NO GI,ADVANCED,MEN 30+,ANKLE LOCK,NA,RICHMOND 2013,2013
330,NO GI,ADVANCED,MEN 30+,ANKLE LOCK,NA,RICHMOND 2013,2013
1065,NO GI,ADVANCED,MEN,ANKLE LOCK,NA,VIRGINIA BEACH 2016,2016
260,NO GI,ADVANCED,MEN,ANKLE LOCK,NA,CHARLOTTE 2017,2017
183,NO GI,ADVANCED,MEN,ANKLE LOCK,NA,CHARLOTTE 2017,2017
116,NO GI,ADVANCED,MEN,ANKLE LOCK,NA,VIRGINIA BEACH 2017,2017
849,NO GI,ADVANCED,MEN,ANKLE LOCK,NA,VIRGINIA BEACH 2017,2017
530,NO GI,ADVANCED,MEN,ANKLE LOCK,NA,VIRGINIA BEACH 2017,2017
438,NO GI,ADVANCED,MEN,ANKLE LOCK,NA,VIRGINIA BEACH 2017,2017
193,NO GI,ADVANCED,WOMEN,ANKLE LOCK,NA,VIRGINIA BEACH 2017,2017
80,NO GI,ADVANCED,WOMEN,ARMBAR,NA,CHARLOTTE 2017,2017
813,GI,ADVANCED,JUVENILE,ARM TRIANGLE,NA,COLUMBIA 2018,2018
191,NO GI,ADVANCED,MEN,ARM TRIANGLE,HELLFISH,PHILLY 2010,2010
503,NO GI,ADVANCED,WOMEN,ARM TRIANGLE,NA,RICHMOND 2013,2013
330,NO GI,ADVANCED,MEN 30+,ARM TRIANGLE,NA,CHICAGO 2014,2014
1920,NO GI,ADVANCED,MEN,ARM TRIANGLE,NA,CHICAGO 2014,2014
330,NO GI,ADVANCED,MEN 30+,ARM TRIANGLE,NA,CHICAGO 2014,2014
1920,NO GI,ADVANCED,MEN,ARM TRIANGLE,NA,CHICAGO 2014,2014
